10.0,23.047561645507812,nan,nan,nan,nan,nan,nan,nan,nan,0.1,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
77.4,9.446744859218597,0.7228915662650602,0.9615384615384616,0.5628997867803838,0.7318777292576419,0.6491803278688525,0.9748743718592965,0.5248713550600344,0.7949367088607595,0.9600886917960089,0.8976608187134503,0.78,0.925,0.792,0.838,0.594,0.776,0.306,0.942,0.866,0.921
81.44,5.443405270576477,0.7065868263473054,0.9771547248182763,0.7083725305738476,0.813047711781889,0.672306322350846,0.9683257918552036,0.5712098009188361,0.8597957288765088,0.941473259334006,0.900952380952381,0.826,0.941,0.753,0.835,0.755,0.856,0.373,0.926,0.933,0.946
82.85,5.158911943435669,0.7483930211202938,0.9853862212943633,0.6925704526046115,0.8011100832562442,0.7687861271676301,0.9762174405436014,0.59688995215311,0.8570127504553734,0.9465725806451613,0.9182083739045764,0.815,0.944,0.811,0.866,0.665,0.862,0.499,0.941,0.939,0.943
84.06,4.714940011501312,0.7413333333333333,0.9885416666666667,0.7550626808100289,0.8211610486891385,0.7596656217345873,0.9728555917480999,0.6016355140186916,0.8804143126177024,0.9542682926829268,0.9233009708737864,0.834,0.949,0.783,0.877,0.727,0.896,0.515,0.935,0.939,0.951
84.46,4.625756055116653,0.7551942186088527,0.9875647668393782,0.7339366515837104,0.8317490494296578,0.7429679922405431,0.983127109111361,0.6558704453441295,0.8619133574007221,0.9526686807653575,0.9355797819623389,0.836,0.953,0.811,0.875,0.766,0.874,0.486,0.955,0.946,0.944
84.79,4.394623875617981,0.7558558558558559,0.9845837615621789,0.7533081285444234,0.8671399594320487,0.7698924731182796,0.9793028322440087,0.6008359456635318,0.8799630655586335,0.9620512820512821,0.9396039603960396,0.839,0.958,0.797,0.855,0.716,0.899,0.575,0.953,0.938,0.949
85.47,4.311281830072403,0.7577639751552795,0.9886363636363636,0.7764705882352941,0.8621378621378621,0.7693898655635988,0.9764957264957265,0.62486602357985,0.8919172932330827,0.9660493827160493,0.9407114624505929,0.854,0.957,0.792,0.863,0.744,0.914,0.583,0.949,0.939,0.952
85.46,4.264204055070877,0.7510879025239339,0.9886480908152735,0.7557603686635944,0.8639523336643495,0.7798066595059077,0.9814814814814815,0.6441860465116279,0.8861940298507462,0.9595959595959596,0.9362119725220804,0.863,0.958,0.82,0.87,0.726,0.901,0.554,0.95,0.95,0.954
86.23,4.056898921728134,0.7794117647058824,0.9917269906928645,0.7910447761194029,0.8549323017408124,0.7713139418254764,0.9778012684989429,0.6459694989106753,0.9005681818181818,0.965270684371808,0.9445544554455445,0.848,0.959,0.795,0.884,0.769,0.925,0.593,0.951,0.945,0.954
